id,distrito,provincia,poblacion
1143,General Güemes,Chaco,68525
1493,San Martín,Santa Fe,67827
1476,Coronel de Marina Leonardo Rosales,Buenos Aires,67503
1075,Cruz del Eje,Córdoba,67112
1320,Marcos Paz,Buenos Aires,67011
1237,Río Hondo,Santiago del Estero,66761
1359,Leales,Tucumán,66392
1458,Libertador General San Martín,Chaco,65686
1194,Palpalá,Jujuy,65541
1490,Río Chico,Tucumán,64962
1177,Adolfo Alsina,Río Negro,64482
1354,Ensenada,Buenos Aires,63997
1104,Rivadavia,Mendoza,63724
1498,San Ignacio,Misiones,63394
1456,San Javier,Córdoba,63377
1543,Santa Lucía,San Juan,62729
1113,Tres Arroyos,Buenos Aires,62426
1245,Tunuyán,Mendoza,60171
1217,Mayor Luis J. Fontana,Chaco,59965
1468,Cainguás,Misiones,59953
1429,Chilecito,La Rioja,58798
1422,Río Primero,Córdoba,58428
1299,Gualeguay,Entre Ríos,57303
1511,Paso de los Libres,Corrientes,56989
1079,General Güemes,Salta,56166
1171,Vera,Santa Fe,56027
1137,Cerrillos,Salta,55949
1291,Villaguay,Entre Ríos,55796
1280,Robles,Santiago del Estero,54015
1046,Diamante,Entre Ríos,53595
1309,Chacabuco,Buenos Aires,52729
1323,9 de Julio,Buenos Aires,52607
1162,General Alvear,Mendoza,52584
1472,Libertador General San Martín,Misiones,52428
1553,Curuzú Cuatiá,Corrientes,51532
1482,Rosario de Lerma,Salta,51028
1522,Apóstoles,Misiones,50597
1247,Futaleufú,Chubut,50316
1560,Mercedes,Corrientes,49882
1283,Leandro N. Alem,Misiones,49797
1325,Trenque Lauquen,Buenos Aires,49499
1380,Balcarce,Buenos Aires,48982
1434,Belgrano,Santa Fe,48781
1097,Metán,Salta,48245
1267,Lavalle,Mendoza,47167
1221,San Justo,Santa Fe,46665
1423,Junín,Mendoza,46604
1086,General Taboada,Santiago del Estero,46508
1318,Bragado,Buenos Aires,46504
1167,Zapala,Neuquén,45698
1109,Monte Caseros,Corrientes,45670
1473,General Manuel Belgrano,Misiones,45570
1063,General Alvarado,Buenos Aires,45526
1353,Lincoln,Buenos Aires,45506
1383,Burruyacú,Tucumán,45476
1324,Pehuajó,Buenos Aires,44783
1517,Bella Vista,Corrientes,44406
1536,Caucete,San Juan,44047
1092,Choya,Santiago del Estero,43736
1297,Nogoyá,Entre Ríos,43195
1368,Famaillá,Tucumán,42702
1121,Chascomús,Buenos Aires,42452
1132,San Alberto,Córdoba,42166
1060,Coronel Suárez,Buenos Aires,42110
1371,Lobos,Buenos Aires,41760
1241,Avellaneda,Río Negro,41352
1139,Tupungato,Mendoza,41280
1045,Victoria,Entre Ríos,40652
1367,Moreno,Santiago del Estero,40460
1513,Lavalle,Corrientes,40448
1032,Junín,San Luis,40361
1341,Exaltación de la Cruz,Buenos Aires,40159
1477,Baradero,Buenos Aires,40002
